Q22,14:37:40,1.34460618e-06,2.70491e-05,3.36098651e-07,1.4409301e-05,3.14741123e-06,6.98265058e-06,3.60545442e-07,0.999946356,happiness
Q22,14:37:42,0.00528777344,0.3198687,0.00658037653,0.00282345852,0.001537341,0.00131593726,0.000297799,0.6622886,happiness
Q22,14:37:44,8.956219e-08,4.02639944e-06,2.102899e-07,5.536936e-07,4.42317855e-07,4.15914246e-06,9.761275e-08,0.9999904,happiness
Q22,14:37:46,0.00036559187,0.5937547,0.00350510445,0.00020543432,5.279231e-05,0.0006399214,2.62034041e-06,0.4014738,neutral
Q22,14:37:48,0.0003943483,0.31834057,0.003422769,0.0004193446,6.926531e-05,0.000345550623,2.63690276e-06,0.6770055,happiness
Q22,14:37:50,0.012717681,0.7552942,0.00965673,0.00381669821,0.00128265063,0.0016036696,0.000194993918,0.215433389,neutral
Q22,14:37:52,0.000420192577,0.70810467,0.003784154,0.000286246563,0.000104296181,0.000671456859,5.28058354e-06,0.2866237,neutral
Q22,14:37:54,0.00433784956,0.976222932,0.004443527,0.000327073358,0.00370842777,0.008052199,0.00127114961,0.00163686485,neutral
Q22,14:37:56,0.005304664,0.967914462,0.00338117825,0.000549646735,0.000169184874,0.00186588976,4.229634e-05,0.02077268,neutral
Q22,14:37:58,0.000520251167,0.215104923,0.002880712,0.000174196175,2.89688069e-05,0.0006248005,1.62204469e-06,0.7806645,happiness
Q22,14:38:00,2.21923729e-05,8.139369e-05,3.95277482e-07,3.5889283e-05,6.48800551e-06,4.255701e-06,7.37878565e-07,0.999848664,happiness
Q22,14:38:02,0.00105523528,0.5698909,0.0216823034,0.000243787188,4.87963262e-05,0.000320122956,5.203363e-06,0.406753629,neutral
Q22,14:38:04,0.00112325454,0.8203432,0.00393014168,0.000112186652,1.70524654e-05,0.000133884445,1.65515314e-06,0.174338624,neutral
Q22,14:38:06,0.00619585766,0.9747564,0.003297022,0.00014697593,6.57676937e-05,0.000155848378,6.72200258e-06,0.01537537,neutral
Q22,14:38:08,0.0024197388,0.9604219,0.00295643625,5.48680437e-05,1.30364042e-05,0.0003247058,3.38358427e-06,0.0338058844,neutral
Q22,14:38:10,0.0001629799,0.9352341,0.00125201081,1.111538e-05,6.6493094e-06,0.000120737874,3.84312983e-07,0.06321201,neutral
Q22,14:38:12,0.009655343,0.980715,0.00387794268,0.000140116317,4.306896e-05,0.000484544318,7.16222758e-06,0.005076831,neutral
Q22,14:38:14,0.0126317972,0.9682217,0.004281973,0.0010008401,0.001097064,0.008412248,0.0006883825,0.003665959,neutral
Q22,14:38:16,0.002963996,0.9870362,0.00325122359,0.00014818467,0.0001572788,0.00212412258,4.50533953e-05,0.00427390542,neutral
Q22,14:38:18,0.005398907,0.9527179,0.008376501,0.000815036,0.000829016557,0.00249768281,0.000112041009,0.0292528961,neutral
Q22,14:38:20,0.00361164077,0.956938,0.0112230135,8.3492836e-05,8.850094e-05,0.001900455,1.30807075e-05,0.0261417646,neutral
Q22,14:38:22,0.009496544,0.9779989,0.00378998555,0.000326081674,0.0002828905,0.00234057615,9.04426e-05,0.00567457825,neutral
Q22,14:38:24,0.0031392267,0.9765918,0.0046631014,0.000110221343,0.000117134579,0.00209723925,4.69037477e-05,0.013234322,neutral
Q22,14:38:26,0.00584331248,0.969885647,0.005467654,0.0003512145,0.000253756065,0.00110565836,2.8239494e-05,0.0170645416,neutral
